state_and_capital,geo_zone,date,average_price
Cross River,South South,2019-08-01,146.76
Cross River,South South,2019-09-01,147.5
Cross River,South South,2019-10-01,146.9375
Cross River,South South,2019-11-01,150.411764705882
Cross River,South South,2019-12-01,146.06666666666666
Cross River,South South,2020-01-01,146.2
Cross River,South South,2020-02-01,146.5
Cross River,South South,2020-03-01,146.631578947368
Cross River,South South,2020-04-01,131.875
Cross River,South South,2020-05-01,131
Cross River,South South,2020-06-01,125.625
Cross River,South South,2020-07-01,144.571428571429
Cross River,South South,2020-08-01,149.66666666666666
Cross River,South South,2020-09-01,165.875
Cross River,South South,2020-10-01,162.88235294117646
Cross River,South South,2020-11-01,166.75
Cross River,South South,2020-12-01,166.59
Cross River,South South,2021-01-01,164.71428571428572
Cross River,South South,2021-02-01,168.0555555556
Cross River,South South,2021-03-01,173.733333333333
Cross River,South South,2021-04-01,171.5
Cross River,South South,2021-05-01,170
Cross River,South South,2021-06-01,170.5
Cross River,South South,2021-07-01,169.2941176470588
Cross River,South South,2021-08-01,166
Cross River,South South,2021-09-01,165.8571428571
Cross River,South South,2021-10-01,165.33333333333334
Cross River,South South,2021-11-01,170.35
Cross River,South South,2021-12-01,167.1764705882353
Cross River,South South,2022-01-01,172.384615384615
Cross River,South South,2022-02-01,168.875
Cross River,South South,2022-03-01,214.41176470588235
Cross River,South South,2022-04-01,175.09
Cross River,South South,2022-05-01,187.64705882352942
Cross River,South South,2022-06-01,178.88888888888889
Cross River,South South,2022-07-01,193.181818181818
Cross River,South South,2022-08-01,186.5
Cross River,South South,2022-09-01,186.36
Cross River,South South,2022-10-01,190.4
Cross River,South South,2022-11-01,195.12
Cross River,South South,2022-12-01,197.636363636364
Cross River,South South,2023-01-01,261.6666666666667
Cross River,South South,2023-02-01,220
Cross River,South South,2023-03-01,263.3333333333333
Cross River,South South,2023-04-01,267.222222222222
Cross River,South South,2023-05-01,230
Cross River,South South,2023-06-01,549
Delta,South South,2019-01-01,144.84615384615384
Delta,South South,2019-02-01,145.3846153846154
Delta,South South,2019-03-01,145
Delta,South South,2019-04-01,145.27272727272728
Delta,South South,2019-05-01,144.72727272727272
Delta,South South,2019-06-01,145
Delta,South South,2019-07-01,145
Delta,South South,2019-08-01,145.2
Delta,South South,2019-09-01,146.538461538462
Delta,South South,2019-10-01,146.583333333333
Delta,South South,2019-11-01,147.53846153846155
Delta,South South,2019-12-01,144.3846153846154
